day,daily_grid_import_kwh,daily_grid_export_kwh,daily_energy_cost_rs,daily_degradation_cost_rs,daily_net_cost_rs,daily_battery_throughput_kwh,final_daily_soc_percent,final_daily_soh_percent,capacity_loss_percent
154,29.990677029282974,7.750941777298901,216.6725909023671,21.027631761153526,237.7002226635206,14.01842117410235,19.999999505324094,97.53031314776266,2.4696868522373387
155,29.90486685254365,8.549973846651742,213.58901328039397,21.02763159462033,234.61664487501432,14.018421063080222,19.999999641999572,97.51429472669957,2.4857052733004186
156,29.902793556052522,8.088461048993612,214.95696530143937,21.027631734483883,235.98459703592323,14.018421156322589,19.999999415477543,97.49827630554326,2.501723694456742
157,29.89177728161944,9.014830713294623,212.08972611307166,21.027631561596404,233.11735767466803,14.01842104106427,19.999999483531187,97.4822578845022,2.517742115497806
158,29.90601965479893,9.23415833788262,211.54568222474356,21.027631672619272,232.5733138973628,14.018421115079516,19.9999994061735,97.46623946338711,2.5337605366128857
159,29.89035001143052,8.972245770832785,212.2060627789458,21.027631551831554,233.23369433077738,14.018421034554368,19.999999492709815,97.45022104235255,2.5497789576474403
160,29.87577490278238,9.199680827928583,211.4071567384733,21.027631679109703,232.43478841758304,14.018421119406469,19.99999940601643,97.43420262123315,2.565797378766846
161,29.935198320022593,7.823361581578043,216.01150181544665,21.027631791837518,237.03913360728419,14.018421194558346,19.99999919743551,97.4181842000386,2.5818157999614044
162,30.056711415758002,6.844032622371351,219.92159345894999,21.02763174264578,240.94922520159574,14.018421161763857,19.999999754271318,97.40216577887684,2.5978342211231684
163,30.225062438163185,6.61034847280458,221.96945408689174,21.02763164058959,242.99708572748136,14.01842109372639,19.999999874496556,97.3861473577831,2.6138526422168953
164,30.119168246335743,5.2013365397612805,225.34933635140214,21.02763196241472,246.3769683138168,14.018421308276476,19.999999282474594,97.37012893647483,2.629871063525172
165,30.26247996691295,3.0632144348299732,232.9101964308137,21.02763169445923,253.93782812527292,14.01842112963949,19.99999956224924,97.3541105153452,2.6458894846548118
166,31.06338807120872,2.9570881413504006e-09,248.50710456079847,20.41071176655896,268.91781632735746,13.60714117770598,19.99999988716166,97.33850337416749,2.661496625832518
167,32.02128382345897,5.504411782119541e-08,256.17027042253943,17.826747375582272,273.99701779812165,11.88449825038818,19.9999995633084,97.3246188759171,2.675381124082906
168,30.87440668748727,1.4239331920943277,242.72345392361518,21.027631841444567,263.7510857650597,14.018421227629712,19.999999070768816,97.30860045468947,2.6913995453105364
169,34.48363116558588,1.1335179284619721e-07,275.86904898463166,9.080457228850488,284.9495062134821,6.053638152566993,19.999999536926545,97.3005468165369,2.6994531834631035
170,30.945746067942874,0.8524627882965587,245.00858017865332,21.02763158601829,266.03621176467163,14.01842105734553,19.99999979762021,97.28452839547955,2.7154716045204497
171,30.13112453020831,2.5410801609849125,233.42575575871174,21.027631704123472,254.45338746283522,14.018421136082317,19.999999564560824,97.26850997434346,2.7314900256565315
172,31.226950424281135,2.5775267549984915e-08,249.8156033169233,18.232474835588075,268.0480781525113,12.154983223725386,19.9999998900209,97.25435499111974,2.7456450088802566
173,30.070480545701336,2.9468699430293577,231.72323453652263,21.027631633998027,252.75086617052068,14.018421089332017,19.999999822337475,97.23833657003041,2.7616634299695892
174,30.314037646544165,0.9752055348887096,239.58668456768717,21.027631567702002,260.6143161353892,14.018421045134664,19.999999880657622,97.22231814898528,2.7776818510147234
175,35.16986046804713,1.1044023886415906e-08,281.35888371124497,12.019890215557734,293.3787739268027,8.013260143705155,19.999999950833026,97.21230488884157,2.7876951111584285
176,35.03468099958279,7.930048944997818e-09,280.2774479728722,10.435993303872497,290.7134412767447,6.95732886924833,19.999999948943696,97.20334755997231,2.7966524400276778
177,35.84969161099548,1.3506345807002727e-07,286.7975324827734,10.354713833545459,297.1522463163189,6.903142555696974,19.999999101576975,97.19444441741662,2.8055555825833753
178,31.361237879645163,0.8682635674785024,248.2851123347258,21.027631637297922,269.3127439720237,14.018421091531946,19.99999973622896,97.17842599632509,2.821574003674907
179,35.70499179853685,2.4274962191245827e-08,285.63993431546993,7.84940869800987,293.4893430134798,5.23293913200658,19.99999987279935,97.17119305719308,2.8288069428069145
180,41.220638470212805,3.925818705217571e-08,329.7651076439279,1.1685430435054756,330.9336506874333,0.7790286956703172,19.99999948552903,97.16841402849742,2.8315859715025855
181,34.086030648642115,1.2124792178594705e-07,272.68824482539316,15.223225096348674,287.91146992174185,10.148816730899119,19.999999461213566,97.15626521176651,2.843734788233485
