day,hour_of_day,local_hour,timestamp_utc,timestamp,ghi_wm2,dni_wm2,dhi_wm2,temp_air_c,pv_power_kw,home_load_kw,ev_charge_kw,total_load_kw,battery_charge_kw,battery_discharge_kw,battery_soc,battery_soh,battery_capacity_loss_percent,battery_throughput_kwh,grid_import_kw,grid_export_kw,import_cost_rs,export_revenue_rs,energy_net_cost_rs,degradation_cost_rs,net_cost_rs
278,17,22,1990-10-05 17:00:00+00:00,1990-10-05 22:30:00+05:30,0.0,0.0,0.0,26.55,0.0,2.4,0.0,2.4,0.0,0.6483631878443287,0.60955405647585,0.9599219802129274,4.007801978707257,3452.30197870726,1.7516368108106337,0.0,14.01309448648507,0.0,14.01309448648507,0.972544781766493,14.985639268251562
278,18,23,1990-10-05 18:00:00+00:00,1990-10-05 23:30:00+05:30,0.0,0.0,0.0,26.48,0.0,2.4,0.0,2.4,0.0,0.6395987812684917,0.5422278689372659,0.9599147508917814,4.008524910821859,3452.9415774885283,1.7604012173694805,0.0,14.083209738955844,0.0,14.083209738955844,0.9593981719027375,15.042607910858582
278,19,0,1990-10-05 19:00:00+00:00,1990-10-06 00:30:00+05:30,0.0,0.0,0.0,25.21,0.0,2.4,0.0,2.4,0.0,0.6560472895102445,0.47317025947839325,0.959907357085553,4.009264291444702,3453.5976247780386,1.7439527091056302,0.0,13.951621672845041,0.0,13.951621672845041,0.9840709342653667,14.935692607110408
278,20,1,1990-10-05 20:00:00+00:00,1990-10-06 01:30:00+05:30,0.0,0.0,0.0,24.58,0.0,2.4,0.0,2.4,0.0,0.7113876809086744,0.39828734566257,0.9598994098754106,4.010059012458944,3454.309012458947,1.6886123176776773,0.0,13.508898541421418,0.0,13.508898541421418,1.0670815213630116,14.57598006278443
278,21,2,1990-10-05 21:00:00+00:00,1990-10-06 02:30:00+05:30,0.0,0.0,0.0,24.24,0.0,2.4,0.0,2.4,0.0,0.882297194891815,0.30541395669349297,0.9598897535701283,4.011024642987169,3455.1913096538387,1.5177028036619562,0.0,12.14162242929565,0.0,12.14162242929565,1.3234457923377225,13.465068221633372
278,22,3,1990-10-05 22:00:00+00:00,1990-10-06 03:30:00+05:30,0.0,0.0,0.0,23.42,0.0,0.9,0.0,0.9,0.0,0.42693738385174246,0.2604731794352811,0.9598846508629565,4.011534913704354,3455.6182470376907,0.4730626148475533,0.0,3.7845009187804264,0.0,3.7845009187804264,0.6404060757776138,4.42490699455804
278,23,4,1990-10-05 23:00:00+00:00,1990-10-06 04:30:00+05:30,0.0,0.0,0.0,23.47,0.0,0.9,0.0,0.9,0.0,0.5744952261036685,0.1999999977196265,0.9598780725773621,4.0121927422637915,3456.1927422637946,0.32550477264556493,0.0,2.6040381811645195,0.0,2.6040381811645195,0.8617428391555029,3.4657810203200223
279,0,5,1990-10-06 00:00:00+00:00,1990-10-06 05:30:00+05:30,0.0,0.0,0.0,23.74,0.0,0.6,7.2,7.8,1.7603722237128911e-09,1.0610917157290472e-09,0.19999999842328614,0.9598772392440006,4.012276075599946,3456.192742266616,7.799999999666153,0.0,62.399999997329225,0.0,62.399999997329225,4.232195909162909e-09,62.40000000156142
279,1,6,1990-10-06 01:00:00+00:00,1990-10-06 06:30:00+05:30,0.0,0.0,0.0,23.86,0.0,0.6,7.2,7.8,9.776145718742707e-10,2.9549736391356912e-09,0.19999999840926735,0.9598764059106278,4.012359408937212,3456.1927422705485,7.799999996993562,0.0,62.3999999759485,0.0,62.3999999759485,5.898882316514944e-09,62.39999998184738
279,2,7,1990-10-06 02:00:00+00:00,1990-10-06 07:30:00+05:30,235.05,707.35,83.55,24.68,1.154742862768259,0.6,3.6000000000000005,4.2,9.229424298290455e-11,6.743498077289042e-09,0.19999999775368446,0.9598755725772262,4.012442742277381,3456.1927422773842,3.045257129591134,0.0,24.362057036729073,0.0,24.362057036729073,1.0253688480407921e-08,24.362057046982763
279,3,8,1990-10-06 03:00:00+00:00,1990-10-06 08:30:00+05:30,438.35,737.74,118.1,26.98,2.0874584715785813,0.6,0.0,0.6,0.9788564931822415,0.0,0.29299136463392045,0.959864950678961,4.013504932103897,3457.1715987705666,0.0,0.5086019770483181,0.0,1.5258059311449543,-1.5258059311449543,1.4682847397733627,-0.05752119137159162
279,4,9,1990-10-06 04:00:00+00:00,1990-10-06 09:30:00+05:30,616.15,769.75,137.3,28.87,2.911825307955998,0.6,0.0,0.6,1.1623932604453613,0.0,0.40341872440550386,0.9598524934130233,4.014750658697676,3458.333992031012,0.0,1.149432046162705,0.0,3.4482961384881152,-3.4482961384881152,1.7435898906680423,-1.704706247820073
279,5,10,1990-10-06 05:00:00+00:00,1990-10-06 10:30:00+05:30,773.75,816.96,148.5,30.59,3.6496795279312346,0.6,0.0,0.6,1.1178517260742074,0.0,0.5096146384087672,0.9598404815624292,4.015951843757083,3459.451843757086,0.0,1.9318278005817,0.0,5.7954834017451,-5.7954834017451,1.6767775891113113,-4.118705812633789
279,6,11,1990-10-06 06:00:00+00:00,1990-10-06 11:30:00+05:30,793.1,711.51,185.4,32.14,3.7066258283328994,1.5,0.0,1.5,0.880234646568272,0.0,0.5932369298666818,0.9598308458826301,4.016915411736985,3460.332078403654,0.0,1.3263911803933752,0.0,3.979173541180126,-3.979173541180126,1.3203519698524084,-2.6588215713277172
279,7,12,1990-10-06 07:00:00+00:00,1990-10-06 12:30:00+05:30,833.1,770.19,153.55,32.87,3.9221910688878414,1.5,0.0,1.5,0.9446613227452265,0.0,0.6829797555606301,0.9598205659360693,4.017943406393063,3461.2767397263992,0.0,1.4775297447998723,0.0,4.432589234399617,-4.432589234399617,1.41699198411784,-3.015597250281777
279,8,13,1990-10-06 08:00:00+00:00,1990-10-06 13:30:00+05:30,738.15,688.63,154.15,33.58,3.469115916100441,1.5,0.0,1.5,0.8926624098835804,0.0,0.7677826845364706,0.9598108059786372,4.01891940213628,3462.1694021362828,0.0,1.0764535048394575,0.0,3.2293605145183726,-3.2293605145183726,1.338993614825371,-1.8903668996930016
279,9,14,1990-10-06 09:00:00+00:00,1990-10-06 14:30:00+05:30,590.65,590.24,145.8,33.8,2.7723884727498356,1.0,0.0,1.0,0.9216364400621567,0.0,0.8553381463809063,0.9598007562809032,4.019924371909675,3463.091038576345,0.0,0.8507520313120845,0.0,2.5522560939362537,-2.5522560939362537,1.3824546600932353,-1.1698014338430185
279,10,15,1990-10-06 10:00:00+00:00,1990-10-06 15:30:00+05:30,389.5,433.88,126.75,33.82,1.8206907684839537,1.0,0.0,1.0,0.47012479360331166,0.0,0.9000000017988675,0.9597952216996339,4.0204778300366115,3463.561163369948,0.0,0.35056597377185317,0.0,1.0516979213155595,-1.0516979213155595,0.7051871904049677,-0.3465107309105918
279,11,16,1990-10-06 11:00:00+00:00,1990-10-06 16:30:00+05:30,205.95,287.15,87.1,33.59,0.9625994729620698,1.0,0.0,1.0,0.0,0.024717811099747074,0.8973981268869209,0.9597941411881895,4.020585881181045,3463.585881181048,0.012682714679269451,0.0,0.10146171743415561,0.0,0.10146171743415561,0.037076716649620624,0.13853843408377622
279,12,17,1990-10-06 12:00:00+00:00,1990-10-06 17:30:00+05:30,38.25,80.88,22.75,32.74,0.18036560537224586,1.0,0.0,1.0,0.0,0.44035479272404365,0.851044990786274,0.959788904306929,4.021109569307103,3464.026235973772,0.37927960069653516,0.0,3.0342368055722813,0.0,3.0342368055722813,0.6605321890860656,3.6947689946583466
279,13,18,1990-10-06 13:00:00+00:00,1990-10-06 18:30:00+05:30,0.0,0.0,0.0,31.32,0.0,1.0,0.0,1.0,0.0,0.47433069301229563,0.8011154441254178,0.9597833276666655,4.0216672333334476,3464.5005666667844,0.5256693057084547,0.0,4.205354445667638,0.0,4.205354445667638,0.7114960395184435,4.916850485186082
279,14,19,1990-10-06 14:00:00+00:00,1990-10-06 19:30:00+05:30,0.0,0.0,0.0,29.76,0.0,1.0,0.0,1.0,0.0,0.42349387298546476,0.7565371416806477,0.9597782593946024,4.022174060539767,3464.92406053977,0.576506125738753,0.0,4.612049005910024,0.0,4.612049005910024,0.6352408094781973,5.247289815388221
279,15,20,1990-10-06 15:00:00+00:00,1990-10-06 20:30:00+05:30,0.0,0.0,0.0,28.48,0.0,1.0,0.0,1.0,0.0,0.3872261177509819,0.7157764976841484,0.9597735538000914,4.022644619990851,3465.311286657521,0.6127738809762154,0.0,4.9021910478097235,0.0,4.9021910478097235,0.580839176626473,5.483030224436196
279,16,21,1990-10-06 16:00:00+00:00,1990-10-06 21:30:00+05:30,0.0,0.0,0.0,27.44,0.0,1.0,0.0,1.0,0.0,0.36080842707147415,0.6777966632353176,0.9597691123824874,4.023088761751256,3465.6720950845925,0.6391915716608688,0.0,5.1135325732869505,0.0,5.1135325732869505,0.5412126406072113,5.654745213894162
279,17,22,1990-10-06 17:00:00+00:00,1990-10-06 22:30:00+05:30,0.0,0.0,0.0,26.68,0.0,2.4,0.0,2.4,0.0,0.6463461584425371,0.6097602254672767,0.9597618155875697,4.023818441243032,3466.318441243035,1.7536538401069903,0.0,14.029230720855923,0.0,14.029230720855923,0.9695192376638059,14.998749958519728
279,18,23,1990-10-06 18:00:00+00:00,1990-10-06 23:30:00+05:30,0.0,0.0,0.0,26.01,0.0,2.4,0.0,2.4,0.0,0.6386145809052161,0.5425376379660697,0.9597545961084273,4.024540389157271,3466.95705582394,1.7613854176290735,0.0,14.091083341032588,0.0,14.091083341032588,0.9579218713578243,15.049005212390412
279,19,0,1990-10-06 19:00:00+00:00,1990-10-07 00:30:00+05:30,0.0,0.0,0.0,25.36,0.0,2.4,0.0,2.4,0.0,0.6563426482827839,0.473448938109217,0.9597471993486111,4.025280065138888,3467.613398472223,1.7436573502271697,0.0,13.949258801817358,0.0,13.949258801817358,0.984513972424176,14.933772774241534
279,20,1,1990-10-06 20:00:00+00:00,1990-10-07 01:30:00+05:30,0.0,0.0,0.0,24.95,0.0,2.4,0.0,2.4,0.0,0.7132463013765762,0.39837038003260583,0.959739233552264,4.026076644773597,3468.3266447735996,1.6867536970977455,0.0,13.494029576781964,0.0,13.494029576781964,1.0698694520648646,14.563899028846828
279,21,2,1990-10-06 21:00:00+00:00,1990-10-07 02:30:00+05:30,0.0,0.0,0.0,24.64,0.0,2.4,0.0,2.4,0.0,0.8858887683324039,0.30511893070012946,0.9597295413312473,4.0270458668752624,3469.212533541932,1.5141112300998611,0.0,12.11288984079889,0.0,12.11288984079889,1.3288331524986061,13.441722993297496
279,22,3,1990-10-06 22:00:00+00:00,1990-10-07 03:30:00+05:30,0.0,0.0,0.0,24.46,0.0,0.9,0.0,0.9,0.0,0.4251401507625564,0.26036733587077554,0.9597244565964064,4.027554340359359,3469.6376736926945,0.4748598477995108,0.0,3.7988787823960863,0.0,3.7988787823960863,0.6377102261438348,4.436589008539921
279,23,4,1990-10-06 23:00:00+00:00,1990-10-07 04:30:00+05:30,0.0,0.0,0.0,24.35,0.0,0.9,0.0,0.9,0.0,0.5734897146933627,0.19999999745794897,0.9597178883659262,4.028211163407385,3470.211163407388,0.3265102839130285,0.0,2.612082271304228,0.0,2.612082271304228,0.8602345720400443,3.4723168433442724
280,0,5,1990-10-07 00:00:00+00:00,1990-10-07 05:30:00+05:30,0.0,0.0,0.0,24.17,0.0,0.6,7.2,7.8,1.4614498994702548e-09,0.0,0.19999999890166825,0.9597170550325782,4.02829449674218,3470.2111634088496,7.800000001423293,0.0,62.400000011386346,0.0,62.400000011386346,2.1921748492053824e-09,62.40000001357852
280,1,6,1990-10-07 01:00:00+00:00,1990-10-07 06:30:00+05:30,0.0,0.0,0.0,23.91,0.0,0.6,7.2,7.8,9.310578178861138e-10,0.0,0.1999999990973642,0.9597162216992355,4.028377830076444,3470.2111634097805,7.8000000005994155,0.0,62.400000004795324,0.0,62.400000004795324,1.3965867268291708e-09,62.40000000619191
280,2,7,1990-10-07 02:00:00+00:00,1990-10-07 07:30:00+05:30,233.7,713.1,82.15,24.45,1.158779249787701,0.6,3.6000000000000005,4.2,2.669957016830907e-10,0.0,0.1999999991363138,0.9597153883658995,4.028461163410045,3470.2111634100474,3.041220751170192,0.0,24.329766009361535,0.0,24.329766009361535,4.0049355252463606e-10,24.32976600976203
280,3,8,1990-10-07 03:00:00+00:00,1990-10-07 08:30:00+05:30,448.05,774.44,113.35,26.98,2.150049440333849,0.6,0.0,0.6,1.0127845438692151,0.0,0.29621453081345955,0.9597044271871276,4.029557281287247,3471.2239479539166,0.0,0.5372648958937325,0.0,1.6117946876811975,-1.6117946876811975,1.5191768158038228,-0.09261787187737469
280,4,9,1990-10-07 04:00:00+00:00,1990-10-07 09:30:00+05:30,642.1,820.73,133.35,29.06,3.0524283046074934,0.6,0.0,0.6,1.1595341885226391,0.0,0.4063702787356107,0.959691998511909,4.030800148809103,3472.3834821424393,0.0,1.2928941155223064,0.0,3.878682346566919,-3.878682346566919,1.739301282783959,-2.1393810637829604
280,5,10,1990-10-07 05:00:00+00:00,1990-10-07 10:30:00+05:30,777.15,826.36,146.8,30.95,3.6778724920720167,0.6,0.0,0.6,1.0707123320713487,0.0,0.5080879502963453,0.9596804580552549,4.031954194474507,3473.4541944745106,0.0,2.0071601594565176,0.0,6.021480478369552,-6.021480478369552,1.6060684981070232,-4.41541198026253
280,6,11,1990-10-07 06:00:00+00:00,1990-10-07 11:30:00+05:30,847.25,817.7,151.2,32.52,4.003664986988732,1.5,0.0,1.5,0.9032844483175124,0.0,0.5938999729068976,0.9596705918774384,4.032940812256158,3474.3574789228282,0.0,1.6003805380558653,0.0,4.801141614167596,-4.801141614167596,1.3549266724762685,-3.446214941691328
280,7,12,1990-10-07 07:00:00+00:00,1990-10-07 12:30:00+05:30,842.05,785.38,151.6,33.78,3.976823811855136,1.5,0.0,1.5,0.9134794503997506,0.0,0.6806805207156569,0.959660623749601,4.033937625039892,3475.270958373228,0.0,1.563344360847795,0.0,4.690033082543385,-4.690033082543385,1.370219175599626,-3.319813906943759
280,8,13,1990-10-07 08:00:00+00:00,1990-10-07 13:30:00+05:30,768.5,739.82,143.65,34.52,3.6334051127786404,1.5,0.0,1.5,0.9019632729113685,0.0,0.766367031664435,0.9596507707835387,4.034922921646136,3476.1729216461395,0.0,1.2314418392502653,0.0,3.694325517750796,-3.694325517750796,1.352944909367053,-2.3413806083837434
280,9,14,1990-10-07 09:00:00+00:00,1990-10-07 14:30:00+05:30,589.3,603.4,136.75,34.96,2.7803642034494067,1.0,0.0,1.0,0.8856617747402069,0.0,0.8505049002877002,0.9596410808324579,4.03589191675421,3477.0585834208796,0.0,0.8947024280956923,0.0,2.684107284287077,-2.684107284287077,1.3284926621103106,-1.3556146221767664
280,10,15,1990-10-07 10:00:00+00:00,1990-10-07 15:30:00+05:30,410.7,500.28,109.65,34.97,1.9459014410457514,1.0,0.0,1.0,0.5210010510087024,0.0,0.9000000001539424,0.9596350374886145,4.036496251138552,3477.579584471888,0.0,0.4249003895281154,0.0,1.2747011685843461,-1.2747011685843461,0.7815015765130537,-0.4931995920712924
280,11,16,1990-10-07 11:00:00+00:00,1990-10-07 16:30:00+05:30,157.95,189.02,80.45,34.66,0.7277912888156763,1.0,0.0,1.0,0.0,0.14019229082082185,0.8852429168054708,0.9596328022323729,4.036719776762706,3477.719776762709,0.1320164183411835,0.0,1.056131346729468,0.0,1.056131346729468,0.2102884362312328,1.2664197829607007
280,12,17,1990-10-07 12:00:00+00:00,1990-10-07 17:30:00+05:30,34.05,72.16,20.5,33.1,0.16132551417875424,1.0,0.0,1.0,0.0,0.4401117768644259,0.8389153613355818,0.959627567781271,4.037243221872903,3478.1598885395733,0.39856270847225433,0.0,3.1885016677780347,0.0,3.1885016677780347,0.6601676652966388,3.8486693330746737
280,13,18,1990-10-07 13:00:00+00:00,1990-10-07 18:30:00+05:30,0.0,0.0,0.0,31.36,0.0,1.0,0.0,1.0,0.0,0.46527820348918475,0.7899387083257696,0.9596220816659027,4.0377918334097265,3478.6251667430624,0.5347217960085121,0.0,4.277774368068097,0.0,4.277774368068097,0.6979173052337772,4.975691673301874
280,14,19,1990-10-07 14:00:00+00:00,1990-10-07 19:30:00+05:30,0.0,0.0,0.0,29.87,0.0,1.0,0.0,1.0,0.0,0.4171885921438237,0.7460241196686104,0.959617076446648,4.038292355335203,3479.042355335206,0.5828114073363755,0.0,4.662491258691004,0.0,4.662491258691004,0.6257828882157356,5.28827414690674
280,15,20,1990-10-07 15:00:00+00:00,1990-10-07 20:30:00+05:30,0.0,0.0,0.0,28.51,0.0,1.0,0.0,1.0,0.0,0.3831069221890615,0.7056970752177777,0.9596124120440928,4.038758795590726,3479.4254622573953,0.6168930772737676,0.0,4.935144618190141,0.0,4.935144618190141,0.5746603832835923,5.509805001473733
280,16,21,1990-10-07 16:00:00+00:00,1990-10-07 21:30:00+05:30,0.0,0.0,0.0,27.49,0.0,1.0,0.0,1.0,0.0,0.3584629967334368,0.6679641281841313,0.9596079940807921,4.0392005919207925,3479.783925254129,0.641537002716145,0.0,5.13229602172916,0.0,5.13229602172916,0.5376944951001552,5.669990516829316
